PRODUCT_ID,CATEGORY_ID,PRODUCT Name,PRODUCT Brand,Product Model No,PRODUCT_STOCK,PRODUCT_DIM_ID
3005,4005,LAPTOP,HP,4620,1,1
3093,4005,LAPTOP,TOSHIBA,4978,1,2
3047,4004,TELEVISION,PHILIPS,4500,0,3
3073,4006,PENDRIVE,SANDISK,9457,1,4
3033,4007,EARPHONES,SONY,11456,1,5
3022,4004,TELEVISION,LG,4950,1,6
3094,4006,PENDRIVE,KINGSTON,9965,0,7
3074,4007,EARPHONES,BEATS,11446,0,8
3015,4002,BAG,PUMA,31330,0,9
3086,4004,TELEVISION,SAMSUNG,4445,1,10
3081,4007,EARPHONES,BEATS,17890,0,11
3069,4007,EARPHONES,BOSE,11460,0,12
3054,4006,PENDRIVE,MOSERBAER,9750,1,13
3039,4007,EARPHONES,JBL,11450,1,14
3072,4008,DVD PLAYER,ONIDA,2360,1,15
3080,4001,SHOES,REEBOK,21340,1,16
3079,4001,SHOES,REEBOK,24580,0,17
3017,4008,DVD PLAYER,ONIDA,2800,0,18
3025,4000,CAMERA,SONY ,1760,0,19
3056,4005,LAPTOP,DELL,4789,1,20
3024,4010,PRINTER,HP,9782,0,21
3028,4009,SUNGLASSES,GUCCI,6270,0,22
3052,4010,PRINTER,HP,9780,1,23
3082,4007,EARPHONES,SKULLCANDY,16430,0,24
3032,4005,LAPTOP,TOSHIBA,4750,0,25
3045,4008,DVD PLAYER,SAMSUNG,2900,1,26
3000,4000,CAMERA,NIKON,1100,1,27
3096,4002,BAG,PUMA,34556,1,28
3011,4008,DVD PLAYER,PHILIPS,2210,0,29
3044,4003,WATCH,FOSSIL,5570,1,30
3023,4004,TELEVISION,PANASONIC,4326,1,31
3035,4000,CAMERA,CANON,1452,1,32
3075,4006,PENDRIVE,KINGSTON,9740,0,33
3070,4009,SUNGLASSES,RAYBAN,6457,1,34
3053,4001,SHOES,PUMA,24560,1,35
3034,4002,BAG,AMERICAN TOURISTER,35896,1,36
3067,4001,SHOES,NIKE,24760,1,37
3061,4008,DVD PLAYER,SONY,2410,0,38
3098,4002,BAG,AMERICAN TOURISTER,37950,0,39
3036,4001,SHOES,PUMA,22500,0,40
3077,4010,PRINTER,SAMSUNG,9741,0,41
3004,4004,TELEVISION,SAMSUNG,4170,0,42
3089,4006,PENDRIVE,TRANSCEND,9976,0,43
3065,4006,PENDRIVE,KINGSTON,9751,1,44
3021,4001,SHOES,NIKE,23400,0,45
3097,4008,DVD PLAYER,ONIDA,2149,0,46
3087,4000,CAMERA,NIKON,1650,1,47
3078,4008,DVD PLAYER,ONIDA,2143,1,48
3050,4001,SHOES,NIKE,24800,0,49
3027,4009,SUNGLASSES,FASTTRACK,6840,0,50
3013,4009,SUNGLASSES,RAYBAN,6100,1,51
3058,4003,WATCH,FASTTRACK,5741,1,52
3051,4000,CAMERA,CANON,1460,1,53
3088,4005,LAPTOP,DELL,4478,1,54
3055,4004,TELEVISION,ONIDA,4456,1,55
3029,4008,DVD PLAYER,SONY,2370,1,56
3012,4008,DVD PLAYER,SAMSUNG,2240,1,57
3019,4005,LAPTOP,SONY VAIO,4800,1,58
3010,4007,EARPHONES,SKULLCANDY,10001,1,59
3071,4000,CAMERA,FUJIFILM,1190,0,60
3009,4005,LAPTOP,ACER,4763,0,61
3040,4007,EARPHONES,SENNHEISER,12530,0,62
3100,4004,TELEVISION,LG,4463,0,63
3020,4002,BAG,REEBOK,34500,0,64
3014,4009,SUNGLASSES,POLICE,6129,0,65
3037,4006,PENDRIVE,TRANSCEND,9985,1,66
3066,4002,BAG,WILDCRAFT,34510,0,67
3083,4008,DVD PLAYER,SAMSUNG,2451,0,68
3076,4001,SHOES,NIKE,25760,1,69
3062,4002,BAG,PUMA,34560,0,70
3026,4005,LAPTOP,LENOVO,4580,0,71
3046,4008,DVD PLAYER,SONY,2430,1,72
3057,4004,TELEVISION,ONIDA,4623,0,73
3091,4005,LAPTOP,ACER,4677,1,74
3090,4001,SHOES,ADIDAS,24315,1,75
3060,4010,PRINTER,HP,9786,1,76
3001,4001,SHOES,ADIDAS,22234,1,77
3006,4000,CAMERA,FUJIFILM,1600,0,78
3007,4005,LAPTOP,SAMSUNG,4510,1,79
3068,4010,PRINTER,HP,9745,0,80
3095,4002,BAG,PUMA,38860,1,81
3092,4002,BAG,SAMSONITE,33445,1,82
3099,4003,WATCH,FASTTRACK,5448,0,83
3018,4005,LAPTOP,DELL,4703,0,84
3031,4010,PRINTER,SAMSUNG,9614,1,85
3016,4009,SUNGLASSES,RAYBAN,6200,1,86
3063,4005,LAPTOP,SAMSUNG,4752,0,87
3041,4005,LAPTOP,DELL,4158,0,88
3085,4002,BAG,WILDCRAFT,31482,1,89
3084,4007,EARPHONES,BEATS,14560,1,90
3064,4001,SHOES,REEBOK,24780,1,91
3002,4002,BAG,PUMA,31240,1,92
3038,4010,PRINTER,HP,9720,1,93
3059,4003,WATCH,DIESEL,5241,0,94
3003,4003,WATCH,FOSSIL,5233,0,95
3008,4006,PENDRIVE,SANDISK,9123,0,96
3048,4008,DVD PLAYER,SONY,2710,0,97
3030,4004,TELEVISION,SONY,4572,0,98
3042,4007,EARPHONES,SOUND MAGIC,11540,0,99
3043,4002,BAG,WILDCRAFT,31200,0,100
